,name,english_name,directors,writer,actors,rate,style1,style2,style3,country,language,date,duration,introduction,dataID,url,pic
0,Knives Out,Knives Out,莱恩·约翰逊,莱恩·约翰逊,丹尼尔·克雷格  安娜·德·阿玛斯  克里斯·埃文斯  杰米·李·柯蒂斯  迈克尔·珊农,8.2,Mystery,Mystery,Mystery,United States,English,2019,130,富豪小说家哈兰·斯隆比在自己85岁生日第二天，被发现在自家庄园离奇自杀，遗留了亿万遗产。久负盛名的大侦探布兰科（丹尼尔·克雷格饰）突然被匿名人士雇佣调查此案真相。同时，哈兰的孙子兰森（克里斯·埃文斯饰）也正在秘密调查此案。当布兰科和哈兰·斯隆比家族的其他人对谈时，他发现事情并没有想象中那么简单。  哈兰家族没有表面上那么和睦，每个人都有着不可告人的秘密，每个人都想得到遗产……究竟这起命案是自杀还是他杀？似乎每个人都有嫌疑。随着一位遗产继承人的意外亮相，真相谜底渐渐浮出水面……,30318116,https://movie.douban.com/subject/30318116/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574172427.jpg
1,Extraction,Extraction,山姆·哈格雷夫,乔·罗素,克里斯·海姆斯沃斯  大卫·哈伯  格什菲·法拉哈尼  德里克·卢克  兰迪普·弘达,7.1,,,,United States,English,2020,117,泰勒·雷克（克里斯·海姆斯沃斯饰）是一名无所畏惧的黑市雇佣兵，一无所有的他奉命营救入狱的黑帮大佬被绑架的儿子。但是在充斥着武器交易商和毒贩的阴暗地下世界中，本就致命的任务更是难以完成，并彻底地改变了雷克和男孩的命运。,30314127,https://movie.douban.com/subject/30314127/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2593425210.jpg
2,The Half of It,The Half of It,伍思薇,伍思薇,利·刘易斯  丹尼尔·迪默  艾丽克西斯·勒梅尔  邹兆龙  贝琦·安·贝克,8.1,,,,United States,English,2020,104,一个害羞内向、成绩全A的美籍华裔高中女生EllieChu（LeahLewis饰），受雇为一个善良但不善言辞的运动员男孩PaulMunksy(DanielDiemer饰），帮助他撰写情书和浪漫对话来获得校园里受欢迎的女生AsterFlores（AlexxisLemire饰）的好感，但在这过程中Ellie意识到他们对同一个女生有了感觉…事情开始变得复杂起来。  电影将于2020年4月亮相翠贝卡电影节。,33420285,https://movie.douban.com/subject/33420285/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2594916975.jpg
3,The Shawshank Redemption,The Shawshank Redemption,弗兰克·德拉邦特,弗兰克·德拉邦特,蒂姆·罗宾斯  摩根·弗里曼  鲍勃·冈顿  威廉姆·赛德勒  克兰西·布朗,9.7,,,,United States,English,1994,142,20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯TimRobbins饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望似乎虚无缥缈，终身监禁的惩罚无疑注定了安迪接下来灰暗绝望的人生。未过多久，安迪尝试接近囚犯中颇有声望的瑞德（摩根·弗里曼MorganFreeman饰），请求对方帮自己搞来小锤子。以此为契机，二人逐渐熟稔，安迪也仿佛在鱼龙混杂、罪恶横生、黑白混淆的牢狱中找到属于自己的求生之道。他利用自身的专业知识，帮助监狱管理层逃税、洗黑钱，同时凭借与瑞德的交往在犯人中间也渐渐受到礼遇。表面看来，他已如瑞德那样对那堵高墙从憎恨转变为处之泰然，但是对自由的渴望仍促使他朝着心中的希望和目标前进。而关于其罪行的真相，似乎更使这一切朝前推进了一步……  本片根据著名作家斯蒂芬·金（StephenEdwinKing）的原著改编。,1292052,https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
4,Spirited Away,,宫崎骏,宫崎骏,柊瑠美  入野自由  夏木真理  菅原文太  中村彰男,9.4,Fantasy,Fantasy,Fantasy,Japan,Japanese,2019,125,千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。  千寻仓皇逃出，一个叫小白的人救了他，喂了她阻止身体消失的药，并且告诉她怎样去找锅炉爷爷以及汤婆婆，而且必须获得一份工作才能不被魔法变成别的东西。  千寻在小白的帮助下幸运地获得了一份在浴池打杂的工作。渐渐她不再被那些怪模怪样的人吓倒，并从小玲那儿知道了小白是凶恶的汤婆婆的弟子。  一次，千寻发现小白被一群白色飞舞的纸人打伤，为了救受伤的小白，她用河神送给她的药丸驱出了小白身体内的封印以及守封印的小妖精，但小白还是没有醒过来。  为了救小白，千寻又踏上了她的冒险之旅。,1291561,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
5,少年的你,,曾国祥,林咏琛,周冬雨  易烊千玺  尹昉  周也  吴越,8.3,Crime,Crime,Crime,Mainland China,Mandarin Chinese,2019,135,陈念（周冬雨饰）是一名即将参加高考的高三学生，同校女生胡晓蝶（张艺凡饰）的跳楼自杀让她的生活陷入了困顿之中。胡晓蝶死后，陈念遭到了以魏莱（周也饰）为首的三人组的霸凌，魏莱虽然表面上看来是乖巧的优等生，实际上却心思毒辣，胡晓蝶的死和她有着千丝万缕的联系。  一次偶然中，陈念邂逅了名为小北（易烊千玺饰）的小混混，随着时间的推移，心心相惜的两人之间产生了真挚的感情。小北答应陈念在暗中保护她免受魏莱的欺凌，没想到这一决定引发了一连串的连锁反应。负责调查胡晓蝶死因的警官郑易（尹昉饰）隐隐察觉到校园里的古怪气氛，可他的调查却屡屡遭到校方的阻挠。,30166972,https://movie.douban.com/subject/30166972/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572166063.jpg
6,Zootopia,Zootopia,拜伦·霍华德,拜伦·霍华德,金妮弗·古德温  杰森·贝特曼  伊德里斯·艾尔巴  珍妮·斯蕾特  内特·托伦斯,9.2,Adventure,Adventure,Adventure,United States,English,2016,109,故事发生在一个所有哺乳类动物和谐共存的美好世界中，兔子朱迪（金妮弗·古德温GinniferGoodwin配音）从小就梦想着能够成为一名惩恶扬善的刑警，凭借着智慧和努力，朱迪成功的从警校中毕业进入了疯狂动物城警察局，殊不知这里是,25662329,https://movie.douban.com/subject/25662329/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg
7,哪吒之魔童降世,,饺子,饺子,吕艳婷  囧森瑟夫  瀚墨  陈浩  绿绮,8.5,Animation,Animation,Animation,Mainland China,Mandarin Chinese,2019,110,天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔丸的误解和即将来临的天雷的降临，哪吒是否命中注定会立地成魔？他将何去何从？,26794435,https://movie.douban.com/subject/26794435/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.jpg
8,我不是药神,,文牧野,韩家女,徐峥  王传君  周一围  谭卓  章宇,9,,,,Mainland China,Mandarin Chinese,2018,117,普通中年男子程勇（徐峥饰）经营着一家保健品店，失意又失婚。不速之客吕受益（王传君饰）的到来，让他开辟了一条去印度买药做“代购”的新事业，虽然困难重重，但他在这条“买药之路”上发现了商机，一发不可收拾地做起了治疗慢粒白血病的印度仿制药独家代理商。赚钱的同时，他也认识了几个病患及家属，为救女儿被迫做舞女的思慧（谭卓饰）、说一口流利“神父腔”英语的刘牧师（杨新鸣饰），以及脾气暴烈的“黄毛”（章宇饰），几个人合伙做起了生意，利润倍增的同时也危机四伏。程勇昔日的小舅子曹警官（周一围饰）奉命调查仿制药的源头，假药贩子张长林（王砚辉饰）和瑞士正牌医药代表（李乃文饰）也对其虎视眈眈，生意逐渐变成了一场关于救赎的拉锯战。  本片改编自慢粒白血病患者陆勇代购抗癌药的真实事迹。,26752088,https://movie.douban.com/subject/26752088/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
9,误杀,,柯汶利,杨薇薇,肖央  谭卓  陈冲  姜皓文  秦沛,7.7,Crime,Crime,Crime,Mainland China,Mandarin Chinese,2019,112,李维杰与妻子阿玉来泰打拼17年，膝下育有两个女儿，年届四十的他靠开设网络公司为生，为人也颇得小镇居民的好感，而这一切美好却被突如其来的不速之客打破。这个充斥走私，贩毒活动的边陲小镇，各种权力交织碾压公平正义。李维杰的大女儿被督察长的儿子强暴，因反抗误杀对方。李维杰曾亲眼目睹督察长滥用私刑，深知法律无用，为了维护女儿，捍卫家人，李维杰埋尸掩盖一切证据，在时间与空间的交错缝隙中，与警方在身心层面，展开了殊死一搏的较量。,30176393,https://movie.douban.com/subject/30176393/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2576090251.jpg
